mapping,question_lbl,paths
http://atomic_questions.org/eprog17_mapping_20251125143219,Which channel is connected to the output port of the program that was responsible for generating this entity in the specified usage event?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog18_mapping_20251125143220,What channel is connected to the input port of the program that generated the data used in this usage event?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog19_mapping_20251125143221,What is the program that is the output of this AI task?,eo:AITask->sio:SIO_000229->provone:Program
http://atomic_questions.org/eprog20_mapping_20251125143222,What inputs were provided to this AI task?,eo:AITask->sio:SIO_000230->eo:ObjectRecord
http://atomic_questions.org/eprog21_mapping_20251125143223,What is the output port of the AI task within this program?,eo:AITask->sio:SIO_000229->provone:Program->provone:hasOutPort->provone:Port
http://atomic_questions.org/eprog22_mapping_20251125143224,What are the input ports for the program generated by this AI task?,eo:AITask->sio:SIO_000229->provone:Program->provone:hasInPort->provone:Port
http://atomic_questions.org/eprog23_mapping_20251125143225,What is the channel that the output port of this AI task is connected to?,eo:AITask->sio:SIO_000229->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog24_mapping_20251125143226,Which channel connects to the input port of the given AI task?,eo:AITask->sio:SIO_000229->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog25_mapping_20251125143229,Which association is associated with this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association
http://atomic_questions.org/eprog26_mapping_20251125143231,What data was used as input by this execution?,provone:Execution->prov:used->provone:Data
http://atomic_questions.org/eprog27_mapping_20251125143232,What is the generation event that describes how this execution generated its output?,provone:Execution->prov:qualifiedGeneration->prov:Generation
http://atomic_questions.org/eprog28_mapping_20251125143234,What is the detailed usage information for this execution?,provone:Execution->prov:qualifiedUsage->prov:Usage
http://atomic_questions.org/eprog29_mapping_20251125143235,Who was the user associated with this execution?,provone:Execution->prov:wasAssociatedWith->provone:User
http://atomic_questions.org/eprog30_mapping_20251125143236,Who is the user associated with this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User
http://atomic_questions.org/eprog31_mapping_20251125143237,What was the program that was planned for this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program
http://atomic_questions.org/eprog32_mapping_20251125143238,Which output port was used to generate this execution?,provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port
http://atomic_questions.org/eprog33_mapping_20251125143239,What data entity was generated by this specific execution?,provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadEntity->provone:Data
http://atomic_questions.org/eprog34_mapping_20251125143241,What input port was utilized by this execution?,provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port
http://atomic_questions.org/eprog35_mapping_20251125143242,What are the data items that were used by this execution?,provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadEntity->provone:Data
http://atomic_questions.org/eprog36_mapping_20251125143243,What is the output port of the program associated with this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port
http://atomic_questions.org/eprog37_mapping_20251125143244,What are the input ports of the program used in this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port
http://atomic_questions.org/eprog38_mapping_20251125143245,What channel does the output port of this execution connect to?,provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog39_mapping_20251125143246,Which channel does the input port used in this execution connect to?,provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog40_mapping_20251125143247,What is the channel that the output port of the program associated with this execution connects to?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog41_mapping_20251125143248,Which channel connects to the input port of the program that was part of this execution's plan?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog42_mapping_20251125143249,What is the output port used in this generation event?,prov:Generation->provone:hadOutPort->provone:Port
http://atomic_questions.org/eprog43_mapping_20251125143251,What entity was generated in this generation event?,prov:Generation->provone:hadEntity->provone:Data
http://atomic_questions.org/eprog44_mapping_20251125143252,Which channel is connected to the output port of this generation event?,prov:Generation->provone:hadOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog45_mapping_20251125143253,What is the execution that generated this data item?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution
http://atomic_questions.org/eprog46_mapping_20251125143254,What is the association linked to the generation of this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association
http://atomic_questions.org/eprog47_mapping_20251125143254,What specific usage was involved in generating this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage
http://atomic_questions.org/eprog48_mapping_20251125143255,Who was the user associated with the execution that generated this data entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:wasAssociatedWith->provone:User
http://atomic_questions.org/eprog49_mapping_20251125143256,Who was the user responsible for the execution that generated this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User
http://atomic_questions.org/eprog50_mapping_20251125143258,Which program was responsible for generating this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program
http://atomic_questions.org/eprog51_mapping_20251125143259,What was the input port used for the generation of this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port
http://atomic_questions.org/eprog52_mapping_20251125143300,What is the output port of the program that generated this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port
http://atomic_questions.org/eprog53_mapping_20251125143301,What is the input port for the program associated with the generation of this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port
http://atomic_questions.org/eprog54_mapping_20251125143302,Which channel is associated with the input port of the execution that generated this data entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog55_mapping_20251125143303,What is the channel connected to the output port of the program that generated this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog56_mapping_20251125143304,What channel connects to the input port of the program plan that generated this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog57_mapping_20251125143305,What data item is a member of this collection?,prov:Collection->prov:hadMember->provone:Data
http://atomic_questions.org/eprog58_mapping_20251125143306,Which channel is this port connected to?,provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog59_mapping_20251125143307,Who is the user associated with this association?,prov:Association->prov:agent->provone:User
http://atomic_questions.org/eprog60_mapping_20251125143308,What is the plan associated with this association?,prov:Association->prov:hadPlan->provone:Program
http://atomic_questions.org/eprog61_mapping_20251125143309,What is the output port for the program that was used as a plan in this association?,prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port
http://atomic_questions.org/eprog62_mapping_20251125143310,What are the input ports for the program associated with this plan?,prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port
http://atomic_questions.org/eprog63_mapping_20251125143310,What is the channel that the output port of this program is connected to?,prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog64_mapping_20251125143312,What is the channel that the input port of this program connects to?,prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog65_mapping_20251125143313,Which execution process generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution
http://atomic_questions.org/eprog66_mapping_20251125143314,Which association is responsible for the execution that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association
http://atomic_questions.org/eprog67_mapping_20251125143315,What is the generation event that produced this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation
http://atomic_questions.org/eprog68_mapping_20251125143316,What were the usages qualified during the execution that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage
http://atomic_questions.org/eprog69_mapping_20251125143317,Who was the user associated with the execution that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:wasAssociatedWith->provone:User
http://atomic_questions.org/eprog70_mapping_20251125143317,Who was the user associated with the execution that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User
http://atomic_questions.org/eprog71_mapping_20251125143318,What was the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program
http://atomic_questions.org/eprog72_mapping_20251125143319,Which output port was used for generating this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port
http://atomic_questions.org/eprog73_mapping_20251125143320,Which input ports were used in the execution that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port
http://atomic_questions.org/eprog74_mapping_20251125143320,What is the output port associated with the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port
http://atomic_questions.org/eprog75_mapping_20251125143323,What input ports are specified for the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port
http://atomic_questions.org/eprog76_mapping_20251125143324,Which channel is the output port of the program generating this data item connected to?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog77_mapping_20251125143325,What is the channel that the input port for using this data item connects to?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog78_mapping_20251125143326,What is the channel connected to the output port of the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog79_mapping_20251125143328,Through which channel is the input provided to the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel
http://atomic_questions.org/eprog0_mapping_20251125143328,Explores objects of a given class in the RDF graph.,provone:Channel -> provone:Port -> provone:Program -> provone:Data -> provone:Execution
http://atomic_questions.org/eprog1_mapping_20251125143328,Explores Attributes of a given object in the RDF graph.,provone:Channel -> provone:Port -> provone:Program -> provone:Data -> provone:Execution
