,mapping,question_lbl,paths,entity,relations
10,http://atomic_questions.org/eprog14_mapping_20251115024916,explore_object_of_class provone:Data | find by prop value | relation:http://dbpedia.org/ontology/Ingredient,provone:Data -> http://dbpedia.org/ontology/Ingredient,['provone:Data'],['http://dbpedia.org/ontology/Ingredient']
11,http://atomic_questions.org/eprog15_mapping_20251115024804,What are the input ports of the program associated with this association?,prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port,"['prov:Association', 'provone:Program', 'provone:Port']","['prov:hadPlan', 'provone:hasInPort']"
12,http://atomic_questions.org/eprog15_mapping_20251115024916,explore_object_of_class provone:Data | find by object uri value | relation:http://dbpedia.org/property/sugars,provone:Data -> http://dbpedia.org/property/sugars,['provone:Data'],['http://dbpedia.org/property/sugars']
13,http://atomic_questions.org/eprog16_mapping_20251115024806,What are the output ports defined for the program specified in this association?,prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port,"['prov:Association', 'provone:Program', 'provone:Port']","['prov:hadPlan', 'provone:hasOutPort']"
14,http://atomic_questions.org/eprog16_mapping_20251115024916,explore_object_of_class provone:Data | find by prop value | relation:http://dbpedia.org/property/sugars,provone:Data -> http://dbpedia.org/property/sugars,['provone:Data'],['http://dbpedia.org/property/sugars']
15,http://atomic_questions.org/eprog17_mapping_20251115024807,What are the channels connected to the input ports of this program?,prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel,"['prov:Association', 'provone:Program', 'provone:Port', 'provone:Channel']","['prov:hadPlan', 'provone:hasInPort', 'provone:connectsTo']"
16,http://atomic_questions.org/eprog17_mapping_20251115024916,explore_object_of_class provone:Data | find by object uri value | relation:dcterms:subject,provone:Data -> dcterms:subject,['provone:Data'],['dcterms:subject']
17,http://atomic_questions.org/eprog18_mapping_20251115024809,What are the channels that connect to the output ports of the program executed by this association?,prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel,"['prov:Association', 'provone:Program', 'provone:Port', 'provone:Channel']","['prov:hadPlan', 'provone:hasOutPort', 'provone:connectsTo']"
18,http://atomic_questions.org/eprog18_mapping_20251115024916,explore_object_of_class provone:Data | find by prop value | relation:dcterms:subject,provone:Data -> dcterms:subject,['provone:Data'],['dcterms:subject']
19,http://atomic_questions.org/eprog19_mapping_20251115024810,What are the input ports for this program?,provone:Program->provone:hasInPort->provone:Port,"['provone:Program', 'provone:Port']",['provone:hasInPort']
20,http://atomic_questions.org/eprog19_mapping_20251115024916,explore_object_of_class provone:Data | find by object uri value | relation:DFColumn:ingredientCat,provone:Data -> DFColumn:ingredientCat,['provone:Data'],['DFColumn:ingredientCat']
21,http://atomic_questions.org/eprog20_mapping_20251115024811,What is the output port of this program?,provone:Program->provone:hasOutPort->provone:Port,"['provone:Program', 'provone:Port']",['provone:hasOutPort']
22,http://atomic_questions.org/eprog20_mapping_20251115024916,explore_object_of_class provone:Data | find by prop value | relation:DFColumn:ingredientCat,provone:Data -> DFColumn:ingredientCat,['provone:Data'],['DFColumn:ingredientCat']
23,http://atomic_questions.org/eprog21_mapping_20251115024812,What are the channels connected to the input ports of this program?,provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Program', 'provone:Port', 'provone:Channel']","['provone:hasInPort', 'provone:connectsTo']"
24,http://atomic_questions.org/eprog21_mapping_20251115024916,explore_object_of_class provone:Data | find by object uri value | relation:DFColumn:ingredientName,provone:Data -> DFColumn:ingredientName,['provone:Data'],['DFColumn:ingredientName']
25,http://atomic_questions.org/eprog22_mapping_20251115024813,What are the channels that the output port of this program connects to?,provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Program', 'provone:Port', 'provone:Channel']","['provone:hasOutPort', 'provone:connectsTo']"
26,http://atomic_questions.org/eprog22_mapping_20251115024916,explore_object_of_class provone:Data | find by prop value | relation:DFColumn:ingredientName,provone:Data -> DFColumn:ingredientName,['provone:Data'],['DFColumn:ingredientName']
27,http://atomic_questions.org/eprog23_mapping_20251115024813,Which execution process was responsible for generating this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution,"['provone:Data', 'provone:Execution']",['prov:wasGeneratedBy']
28,http://atomic_questions.org/eprog23_mapping_20251115024916,explore_object_of_class provone:Data | find by object uri value | relation:DFColumn:sugarG,provone:Data -> DFColumn:sugarG,['provone:Data'],['DFColumn:sugarG']
29,http://atomic_questions.org/eprog24_mapping_20251115024814,Who was the user associated with the execution that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:wasAssociatedWith->provone:User,"['provone:Data', 'provone:Execution', 'provone:User']","['prov:wasGeneratedBy', 'prov:wasAssociatedWith']"
30,http://atomic_questions.org/eprog24_mapping_20251115024916,explore_object_of_class provone:Data | find by prop value | relation:DFColumn:sugarG,provone:Data -> DFColumn:sugarG,['provone:Data'],['DFColumn:sugarG']
31,http://atomic_questions.org/eprog25_mapping_20251115024815,Which generation event produced this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation,"['provone:Data', 'provone:Execution', 'prov:Generation']","['prov:wasGeneratedBy', 'prov:qualifiedGeneration']"
32,http://atomic_questions.org/eprog25_mapping_20251115024916,explore_object_of_class provone:Data | find by object uri value | relation:prov:value,provone:Data -> prov:value,['provone:Data'],['prov:value']
33,http://atomic_questions.org/eprog26_mapping_20251115024816,Which associations were involved in generating this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association,"['provone:Data', 'provone:Execution', 'prov:Association']","['prov:wasGeneratedBy', 'prov:qualifiedAssociation']"
34,http://atomic_questions.org/eprog26_mapping_20251115024916,explore_object_of_class provone:Data | find by prop value | relation:prov:value,provone:Data -> prov:value,['provone:Data'],['prov:value']
35,http://atomic_questions.org/eprog27_mapping_20251115024817,Which usage events were associated with the execution that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage,"['provone:Data', 'provone:Execution', 'prov:Usage']","['prov:wasGeneratedBy', 'prov:qualifiedUsage']"
36,http://atomic_questions.org/eprog28_mapping_20251115024817,Which output ports were used to generate this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port,"['provone:Data', 'provone:Execution', 'prov:Generation', 'provone:Port']","['prov:wasGeneratedBy', 'prov:qualifiedGeneration', 'provone:hadOutPort']"
37,http://atomic_questions.org/eprog29_mapping_20251115024818,What was the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program,"['provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program']","['prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan']"
38,http://atomic_questions.org/eprog2_mapping_20251115024748,What are the executions that generated this data item?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution,"['prov:Usage', 'provone:Data', 'provone:Execution']","['provone:hadEntity', 'prov:wasGeneratedBy']"
39,http://atomic_questions.org/eprog30_mapping_20251115024819,Who was the user responsible for executing the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User,"['provone:Data', 'provone:Execution', 'prov:Association', 'provone:User']","['prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:agent']"
40,http://atomic_questions.org/eprog31_mapping_20251115024820,What input ports were used by the execution that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port,"['provone:Data', 'provone:Execution', 'prov:Usage', 'provone:Port']","['prov:wasGeneratedBy', 'prov:qualifiedUsage', 'provone:hadInPort']"
41,http://atomic_questions.org/eprog31_mapping_20251115024916,explore_object_of_class provone:Execution | find by object uri value | relation:dcterms:identifier,provone:Execution -> dcterms:identifier,['provone:Execution'],['dcterms:identifier']
42,http://atomic_questions.org/eprog32_mapping_20251115024821,Which channels are connected to the output port used for generating this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Data', 'provone:Execution', 'prov:Generation', 'provone:Port', 'provone:Channel']","['prov:wasGeneratedBy', 'prov:qualifiedGeneration', 'provone:hadOutPort', 'provone:connectsTo']"
43,http://atomic_questions.org/eprog32_mapping_20251115024916,explore_object_of_class provone:Execution | find by prop value | relation:dcterms:identifier,provone:Execution -> dcterms:identifier,['provone:Execution'],['dcterms:identifier']
44,http://atomic_questions.org/eprog33_mapping_20251115024823,What input ports are specified for the programs associated with the generation of this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port,"['provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasInPort']"
45,http://atomic_questions.org/eprog33_mapping_20251115024916,explore_object_of_class provone:Execution | find by object uri value | relation:prov:endedAt,provone:Execution -> prov:endedAt,['provone:Execution'],['prov:endedAt']
46,http://atomic_questions.org/eprog34_mapping_20251115024825,What are the output ports of the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port,"['provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasOutPort']"
47,http://atomic_questions.org/eprog34_mapping_20251115024916,explore_object_of_class provone:Execution | find by prop value | relation:prov:endedAt,provone:Execution -> prov:endedAt,['provone:Execution'],['prov:endedAt']
48,http://atomic_questions.org/eprog35_mapping_20251115024825,What channel connects to the port that was used to input this generated data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Data', 'provone:Execution', 'prov:Usage', 'provone:Port', 'provone:Channel']","['prov:wasGeneratedBy', 'prov:qualifiedUsage', 'provone:hadInPort', 'provone:connectsTo']"
49,http://atomic_questions.org/eprog35_mapping_20251115024916,explore_object_of_class provone:Execution | find by object uri value | relation:prov:startedAt,provone:Execution -> prov:startedAt,['provone:Execution'],['prov:startedAt']
50,http://atomic_questions.org/eprog36_mapping_20251115024827,What are the channels connected to the input ports of the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port', 'provone:Channel']","['prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasInPort', 'provone:connectsTo']"
51,http://atomic_questions.org/eprog36_mapping_20251115024916,explore_object_of_class provone:Execution | find by prop value | relation:prov:startedAt,provone:Execution -> prov:startedAt,['provone:Execution'],['prov:startedAt']
52,http://atomic_questions.org/eprog37_mapping_20251115024828,What are the channels that connect to the output ports of the program that generated this data item?,provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port', 'provone:Channel']","['prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasOutPort', 'provone:connectsTo']"
53,http://atomic_questions.org/eprog39_mapping_20251115024830,What are the data items that are part of this collection?,prov:Collection->prov:hadMember->provone:Data,"['prov:Collection', 'provone:Data']",['prov:hadMember']
54,http://atomic_questions.org/eprog40_mapping_20251115024831,Which execution generated the members of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution,"['prov:Collection', 'provone:Data', 'provone:Execution']","['prov:hadMember', 'prov:wasGeneratedBy']"
55,http://atomic_questions.org/eprog41_mapping_20251115024833,Who was the user responsible for generating the members of this data collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:wasAssociatedWith->provone:User,"['prov:Collection', 'provone:Data', 'provone:Execution', 'provone:User']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:wasAssociatedWith']"
56,http://atomic_questions.org/eprog42_mapping_20251115024835,Which generation events are associated with the data items that are part of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Generation']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedGeneration']"
57,http://atomic_questions.org/eprog43_mapping_20251115024836,Which associations are related to the data items that are part of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Association']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation']"
58,http://atomic_questions.org/eprog44_mapping_20251115024837,Which usage events are associated with the members of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Usage']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedUsage']"
59,http://atomic_questions.org/eprog45_mapping_20251115024838,What are the output ports used for generating the members of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Generation', 'provone:Port']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedGeneration', 'provone:hadOutPort']"
60,http://atomic_questions.org/eprog46_mapping_20251115024839,Which programs were planned for generating the entities that are members of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan']"
61,http://atomic_questions.org/eprog47_mapping_20251115024841,Who is the user responsible for the data items that are part of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:User']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:agent']"
62,http://atomic_questions.org/eprog48_mapping_20251115024842,What are the input ports associated with the data items that are members of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Usage', 'provone:Port']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedUsage', 'provone:hadInPort']"
63,http://atomic_questions.org/eprog49_mapping_20251115024843,What are the channels connected to the output port of the execution that generated this collection of data items?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port->provone:connectsTo->provone:Channel,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Generation', 'provone:Port', 'provone:Channel']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedGeneration', 'provone:hadOutPort', 'provone:connectsTo']"
64,http://atomic_questions.org/eprog4_mapping_20251115024750,Who was the user associated with the execution that generated this data item?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:wasAssociatedWith->provone:User,"['prov:Usage', 'provone:Data', 'provone:Execution', 'provone:User']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:wasAssociatedWith']"
65,http://atomic_questions.org/eprog50_mapping_20251115024844,What are the input ports of the programs that generated the members of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasInPort']"
66,http://atomic_questions.org/eprog51_mapping_20251115024845,What are the output ports utilized by the program that produced the members of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasOutPort']"
67,http://atomic_questions.org/eprog52_mapping_20251115024846,What are the channels connected to the ports used to input data into the execution resulting in the members of this collection?,prov:Collection->prov:hadMember->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port->provone:connectsTo->provone:Channel,"['prov:Collection', 'provone:Data', 'provone:Execution', 'prov:Usage', 'provone:Port', 'provone:Channel']","['prov:hadMember', 'prov:wasGeneratedBy', 'prov:qualifiedUsage', 'provone:hadInPort', 'provone:connectsTo']"
68,http://atomic_questions.org/eprog53_mapping_20251115024846,Who was the user associated with this execution?,provone:Execution->prov:wasAssociatedWith->provone:User,"['provone:Execution', 'provone:User']",['prov:wasAssociatedWith']
69,http://atomic_questions.org/eprog54_mapping_20251115024848,Which generation event is associated with this execution?,provone:Execution->prov:qualifiedGeneration->prov:Generation,"['provone:Execution', 'prov:Generation']",['prov:qualifiedGeneration']
70,http://atomic_questions.org/eprog55_mapping_20251115024849,What is the association that qualifies this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association,"['provone:Execution', 'prov:Association']",['prov:qualifiedAssociation']
71,http://atomic_questions.org/eprog56_mapping_20251115024850,What data item was used in this execution?,provone:Execution->prov:used->provone:Data,"['provone:Execution', 'provone:Data']",['prov:used']
72,http://atomic_questions.org/eprog57_mapping_20251115024850,Which usage event is linked with this execution?,provone:Execution->prov:qualifiedUsage->prov:Usage,"['provone:Execution', 'prov:Usage']",['prov:qualifiedUsage']
73,http://atomic_questions.org/eprog58_mapping_20251115024851,What data items were generated by this execution?,provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadEntity->provone:Data,"['provone:Execution', 'prov:Generation', 'provone:Data']","['prov:qualifiedGeneration', 'provone:hadEntity']"
74,http://atomic_questions.org/eprog59_mapping_20251115024853,What are the output ports used in the execution of this program?,provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port,"['provone:Execution', 'prov:Generation', 'provone:Port']","['prov:qualifiedGeneration', 'provone:hadOutPort']"
75,http://atomic_questions.org/eprog5_mapping_20251115024751,Which specific Generation objects qualify the usage event associated with this entity?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedGeneration->prov:Generation,"['prov:Usage', 'provone:Data', 'provone:Execution', 'prov:Generation']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedGeneration']"
76,http://atomic_questions.org/eprog5_mapping_20251115024916,explore_object_of_class provone:Program | find by object uri value | relation:dc:description,provone:Program -> dc:description,['provone:Program'],['dc:description']
77,http://atomic_questions.org/eprog60_mapping_20251115024854,Which program was executed in this specific execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program,"['provone:Execution', 'prov:Association', 'provone:Program']","['prov:qualifiedAssociation', 'prov:hadPlan']"
78,http://atomic_questions.org/eprog61_mapping_20251115024855,Who is the user associated with this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:agent->provone:User,"['provone:Execution', 'prov:Association', 'provone:User']","['prov:qualifiedAssociation', 'prov:agent']"
79,http://atomic_questions.org/eprog62_mapping_20251115024856,What data entities were used in this execution?,provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadEntity->provone:Data,"['provone:Execution', 'prov:Usage', 'provone:Data']","['prov:qualifiedUsage', 'provone:hadEntity']"
80,http://atomic_questions.org/eprog63_mapping_20251115024857,What are the input ports used by this execution?,provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port,"['provone:Execution', 'prov:Usage', 'provone:Port']","['prov:qualifiedUsage', 'provone:hadInPort']"
81,http://atomic_questions.org/eprog64_mapping_20251115024858,What are the channels connected to the output port used in this execution?,provone:Execution->prov:qualifiedGeneration->prov:Generation->provone:hadOutPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Execution', 'prov:Generation', 'provone:Port', 'provone:Channel']","['prov:qualifiedGeneration', 'provone:hadOutPort', 'provone:connectsTo']"
82,http://atomic_questions.org/eprog65_mapping_20251115024859,Which input ports are associated with the program that was executed in this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port,"['provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasInPort']"
83,http://atomic_questions.org/eprog66_mapping_20251115024859,What are the output ports of the program executed in this particular execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port,"['provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port']","['prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasOutPort']"
84,http://atomic_questions.org/eprog67_mapping_20251115024901,Which channels does the execution's input port connect to?,provone:Execution->prov:qualifiedUsage->prov:Usage->provone:hadInPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Execution', 'prov:Usage', 'provone:Port', 'provone:Channel']","['prov:qualifiedUsage', 'provone:hadInPort', 'provone:connectsTo']"
85,http://atomic_questions.org/eprog68_mapping_20251115024901,Which channels are connected to the input ports of the program associated with this execution?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasInPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port', 'provone:Channel']","['prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasInPort', 'provone:connectsTo']"
86,http://atomic_questions.org/eprog69_mapping_20251115024902,What are the channels connected to the output port of this program?,provone:Execution->prov:qualifiedAssociation->prov:Association->prov:hadPlan->provone:Program->provone:hasOutPort->provone:Port->provone:connectsTo->provone:Channel,"['provone:Execution', 'prov:Association', 'provone:Program', 'provone:Port', 'provone:Channel']","['prov:qualifiedAssociation', 'prov:hadPlan', 'provone:hasOutPort', 'provone:connectsTo']"
87,http://atomic_questions.org/eprog6_mapping_20251115024752,Which association is specified for the generated usage of this entity?,prov:Usage->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:qualifiedAssociation->prov:Association,"['prov:Usage', 'provone:Data', 'provone:Execution', 'prov:Association']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:qualifiedAssociation']"
88,http://atomic_questions.org/eprog6_mapping_20251115024916,explore_object_of_class provone:Program | find by prop value | relation:dc:description,provone:Program -> dc:description,['provone:Program'],['dc:description']
89,http://atomic_questions.org/eprog70_mapping_20251115024904,What entity was generated as a result of this generation event?,prov:Generation->provone:hadEntity->provone:Data,"['prov:Generation', 'provone:Data']",['provone:hadEntity']
90,http://atomic_questions.org/eprog72_mapping_20251115024906,Which execution processes generated this specific data entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution,"['prov:Generation', 'provone:Data', 'provone:Execution']","['provone:hadEntity', 'prov:wasGeneratedBy']"
91,http://atomic_questions.org/eprog74_mapping_20251115024907,Who was the user associated with the execution that generated this entity?,prov:Generation->provone:hadEntity->provone:Data->prov:wasGeneratedBy->provone:Execution->prov:wasAssociatedWith->provone:User,"['prov:Generation', 'provone:Data', 'provone:Execution', 'provone:User']","['provone:hadEntity', 'prov:wasGeneratedBy', 'prov:wasAssociatedWith']"
